id_munic_7,id_munic_6,id_TSE,id_SIAFI,municipality,id_comarca,id_state,state_abbrev,state,existed_1991,existed_2000,existed_2010,exists
1100015,110001,310,33,Alta Floresta D'Oeste,2414605,11,RO,Rondônia,1,1,1,1
1100023,110002,78,7,Ariquemes,1100023,11,RO,Rondônia,1,1,1,1
1100031,110003,450,37,Cabixi,1100064,11,RO,Rondônia,1,1,1,1
1100049,110004,94,9,Cacoal,1100049,11,RO,Rondônia,1,1,1,1
1100056,110005,272,27,Cerejeiras,1100056,11,RO,Rondônia,1,1,1,1
1100064,110006,230,23,Colorado do Oeste,1100064,11,RO,Rondônia,1,1,1,1
1100072,110007,655,981,Corumbiara,1100064,11,RO,Rondônia,0,1,1,1
1100080,110008,213,21,Costa Marques,1100080,11,RO,Rondônia,1,1,1,1
1100098,110009,256,25,Espigão D'Oeste,1100080,11,RO,Rondônia,1,1,1,1
1100106,110010,19,1,Guajará-Mirim,1100106,11,RO,Rondônia,1,1,1,1
1100114,110011,159,15,Jaru,1100114,11,RO,Rondônia,1,1,1,1
1100122,110012,51,5,Ji-Paraná,1100122,11,RO,Rondônia,1,1,1,1
1100130,110013,396,39,Machadinho D'Oeste,1100122,11,RO,Rondônia,1,1,1,1
1100148,110014,370,41,Nova Brasilândia D'Oeste,1100122,11,RO,Rondônia,1,1,1,1
1100155,110015,175,17,Ouro Preto do Oeste,1100155,11,RO,Rondônia,1,1,1,1
1100189,110018,116,11,Pimenta Bueno,1100189,11,RO,Rondônia,1,1,1,1
1100205,110020,35,3,Porto Velho,1100205,11,RO,Rondônia,1,1,1,1
1100254,110025,191,19,Presidente Médici,1100254,11,RO,Rondônia,1,1,1,1
1100262,110026,647,687,Rio Crespo,1100023,11,RO,Rondônia,0,1,1,1
1100288,110028,299,29,Rolim de Moura,1100288,11,RO,Rondônia,1,1,1,1
1100296,110029,353,43,Santa Luzia D'Oeste,1100288,11,RO,Rondônia,1,1,1,1
1100304,110030,132,13,Vilhena,1100304,11,RO,Rondônia,1,1,1,1
1100320,110032,418,45,São Miguel do Guaporé,1100320,11,RO,Rondônia,1,1,1,1
1100338,110033,434,47,Nova Mamoré,1100106,11,RO,Rondônia,1,1,1,1
1100346,110034,337,35,Alvorada D'Oeste,2414605,11,RO,Rondônia,1,1,1,1
1100379,110037,736,2,Alto Alegre dos Parecis,2414605,11,RO,Rondônia,0,1,1,1
1100403,110040,639,675,Alto Paraíso,1100023,11,RO,Rondônia,0,1,1,1
1100452,110045,779,4,Buritis,1100452,11,RO,Rondônia,0,1,1,1
1100502,110050,515,689,Novo Horizonte do Oeste,1100122,11,RO,Rondônia,0,1,1,1
1100601,110060,620,677,Cacaulândia,1100023,11,RO,Rondônia,0,1,1,1
1100700,110070,671,679,Campo Novo de Rondônia,1100452,11,RO,Rondônia,0,1,1,1
1100809,110080,477,681,Candeias do Jamari,1100205,11,RO,Rondônia,0,1,1,1
1100908,110090,531,691,Castanheiras,1100254,11,RO,Rondônia,0,1,1,1
1100924,110092,809,6,Chupinguaia,1100304,11,RO,Rondônia,0,1,1,1
1100940,110094,680,8,Cujubim,1100023,11,RO,Rondônia,0,1,1,1
1101005,110100,612,693,Governador Jorge Teixeira,1100114,11,RO,Rondônia,0,1,1,1
1101104,110110,493,683,Itapuã do Oeste,1100205,11,RO,Rondônia,0,1,1,1
1101203,110120,604,695,Ministro Andreazza,1100049,11,RO,Rondônia,0,1,1,1
1101302,110130,574,697,Mirante da Serra,1100155,11,RO,Rondônia,0,1,1,1
1101401,110140,663,685,Monte Negro,1100023,11,RO,Rondônia,0,1,1,1
1101435,110143,744,10,Nova União,1100155,11,RO,Rondônia,0,1,1,1
1101450,110145,701,12,Parecis,1100288,11,RO,Rondônia,0,1,1,1
1101468,110146,787,14,Pimenteiras do Oeste,1100056,11,RO,Rondônia,0,1,1,1
1101476,110147,728,16,Primavera de Rondônia,1100189,11,RO,Rondônia,0,1,1,1
1101484,110148,710,18,São Felipe D'Oeste,1100189,11,RO,Rondônia,0,1,1,1
1101492,110149,795,20,São Francisco do Guaporé,1100080,11,RO,Rondônia,0,1,1,1
1101500,110150,582,699,Seringueiras,1100320,11,RO,Rondônia,0,1,1,1
1101559,110155,752,22,Teixeirópolis,1100155,11,RO,Rondônia,0,1,1,1
1101609,110160,590,975,Theobroma,1100114,11,RO,Rondônia,0,1,1,1
1101708,110170,566,977,Urupá,2414605,11,RO,Rondônia,0,1,1,1
1101757,110175,698,24,Vale do Anari,1100122,11,RO,Rondônia,0,1,1,1
1101807,110180,558,979,Vale do Paraíso,1100155,11,RO,Rondônia,0,1,1,1
1200013,120001,1120,643,Acrelândia,1200013,12,AC,Acre,0,1,1,1
1200054,120005,1570,157,Assis Brasil,1200104,12,AC,Acre,1,1,1,1
1200104,120010,1058,105,Brasiléia,1200104,12,AC,Acre,1,1,1,1
1200138,120013,1007,645,Bujari,1200138,12,AC,Acre,0,1,1,1
1200179,120017,1015,647,Capixaba,1200179,12,AC,Acre,0,1,1,1
1200203,120020,1074,107,Cruzeiro do Sul,1200203,12,AC,Acre,1,1,1,1
1200252,120025,1112,651,Epitaciolândia,1200252,12,AC,Acre,0,1,1,1
1200302,120030,1139,113,Feijó,1200302,12,AC,Acre,1,1,1,1
1200328,120032,1104,653,Jordão,1200609,12,AC,Acre,0,1,1,1
1200336,120033,1090,109,Mâncio Lima,1200336,12,AC,Acre,1,1,1,1
1200344,120034,1554,155,Manoel Urbano,1200344,12,AC,Acre,1,1,1,1
1200351,120035,1040,655,Marechal Thaumaturgo,1200203,12,AC,Acre,0,1,1,1
1200385,120038,1511,151,Plácido de Castro,1200385,12,AC,Acre,1,1,1,1
1200393,120039,1066,657,Porto Walter,1200203,12,AC,Acre,0,1,1,1
1200401,120040,1392,139,Rio Branco,1200401,12,AC,Acre,1,1,1,1
1200427,120042,1082,659,Rodrigues Alves,1200203,12,AC,Acre,0,1,1,1
1200435,120043,1031,661,Santa Rosa do Purus,1200500,12,AC,Acre,0,1,1,1
1200450,120045,1538,153,Senador Guiomard,1200450,12,AC,Acre,1,1,1,1
1200500,120050,1457,145,Sena Madureira,1200500,12,AC,Acre,1,1,1,1
1200609,120060,1473,147,Tarauacá,1200609,12,AC,Acre,1,1,1,1
1200708,120070,1490,149,Xapuri,1200708,12,AC,Acre,1,1,1,1
1200807,120080,1023,649,Porto Acre,1200401,12,AC,Acre,0,1,1,1
1300029,130002,2895,289,Alvarães,1300029,13,AM,Amazonas,1,1,1,1
1300060,130006,2917,291,Amaturá,1303908,13,AM,Amazonas,1,1,1,1
1300086,130008,2933,293,Anamã,1300086,13,AM,Amazonas,1,1,1,1
1300102,130010,2038,203,Anori,1300102,13,AM,Amazonas,1,1,1,1
1300144,130014,2003,969,Apuí,1300144,13,AM,Amazonas,1,1,1,1
1300201,130020,2054,205,Atalaia do Norte,1300201,13,AM,Amazonas,1,1,1,1
1300300,130030,2070,207,Autazes,1300300,13,AM,Amazonas,1,1,1,1
1300409,130040,2097,209,Barcelos,1300409,13,AM,Amazonas,1,1,1,1
1300508,130050,2119,211,Barreirinha,1300508,13,AM,Amazonas,1,1,1,1
1300607,130060,2135,213,Benjamin Constant,1300607,13,AM,Amazonas,1,1,1,1
1300631,130063,2950,295,Beruri,1300631,13,AM,Amazonas,1,1,1,1
1300680,130068,2976,297,Boa Vista do Ramos,1300680,13,AM,Amazonas,1,1,1,1
1300706,130070,2151,215,Boca do Acre,1300706,13,AM,Amazonas,1,1,1,1
1300805,130080,2178,217,Borba,1300805,13,AM,Amazonas,1,1,1,1
1300839,130083,2992,299,Caapiranga,1300839,13,AM,Amazonas,1,1,1,1
1300904,130090,2194,219,Canutama,1300904,13,AM,Amazonas,1,1,1,1
1301001,130100,2216,221,Carauari,1301001,13,AM,Amazonas,1,1,1,1
1301100,130110,2232,223,Careiro,1301100,13,AM,Amazonas,1,1,1,1
1301159,130115,2046,965,Careiro da Várzea,1301159,13,AM,Amazonas,1,1,1,1
1301209,130120,2259,225,Coari,1301209,13,AM,Amazonas,1,1,1,1
1301308,130130,2275,227,Codajás,1301308,13,AM,Amazonas,1,1,1,1
1301407,130140,2291,229,Eirunepé,1301407,13,AM,Amazonas,1,1,1,1
1301506,130150,2313,231,Envira,1301506,13,AM,Amazonas,1,1,1,1
1301605,130160,2330,233,Fonte Boa,1301605,13,AM,Amazonas,1,1,1,1
1301654,130165,2020,967,Guajará,1301654,13,AM,Amazonas,1,1,1,1
1301704,130170,2356,235,Humaitá,1301704,13,AM,Amazonas,1,1,1,1
1301803,130180,2399,239,Ipixuna,1301803,13,AM,Amazonas,1,1,1,1
1301852,130185,98353,9835,Iranduba,1301852,13,AM,Amazonas,1,1,1,1
1301902,130190,2410,241,Itacoatiara,1301902,13,AM,Amazonas,1,1,1,1
1301951,130195,98370,9837,Itamarati,1301951,13,AM,Amazonas,1,1,1,1
1302009,130200,2437,243,Itapiranga,1302009,13,AM,Amazonas,1,1,1,1
1302108,130210,2453,245,Japurá,1302108,13,AM,Amazonas,1,1,1,1
1302207,130220,2470,247,Juruá,1302207,13,AM,Amazonas,1,1,1,1
1302306,130230,2496,249,Jutaí,1302306,13,AM,Amazonas,1,1,1,1
1302405,130240,2518,251,Lábrea,1302405,13,AM,Amazonas,1,1,1,1
1302504,130250,2534,253,Manacapuru,1302504,13,AM,Amazonas,1,1,1,1
1302553,130255,98396,9839,Manaquiri,1302553,13,AM,Amazonas,1,1,1,1
1302603,130260,2550,255,Manaus,1302603,13,AM,Amazonas,1,1,1,1
1302702,130270,2577,257,Manicoré,1302702,13,AM,Amazonas,1,1,1,1
1302801,130280,2593,259,Maraã,1302801,13,AM,Amazonas,1,1,1,1
1302900,130290,2615,261,Maués,1302900,13,AM,Amazonas,1,1,1,1
1303007,130300,2631,263,Nhamundá,1303007,13,AM,Amazonas,1,1,1,1
1303106,130310,2658,265,Nova Olinda do Norte,1303106,13,AM,Amazonas,1,1,1,1
1303205,130320,2011,201,Novo Airão,1303205,13,AM,Amazonas,1,1,1,1
1303304,130330,2674,267,Novo Aripuanã,1303304,13,AM,Amazonas,1,1,1,1
1303403,130340,2690,269,Parintins,1303403,13,AM,Amazonas,1,1,1,1
1303502,130350,2712,271,Pauini,1303502,13,AM,Amazonas,1,1,1,1
1303536,130353,98418,9841,Presidente Figueiredo,1303536,13,AM,Amazonas,1,1,1,1
1303569,130356,98434,9843,Rio Preto da Eva,1303569,13,AM,Amazonas,1,1,1,1
1303601,130360,2372,237,Santa Isabel do Rio Negro,1303601,13,AM,Amazonas,1,1,1,1
1303700,130370,2739,273,Santo Antônio do Içá,1303700,13,AM,Amazonas,1,1,1,1
1303809,130380,2836,283,São Gabriel da Cachoeira,1303809,13,AM,Amazonas,1,1,1,1
1303908,130390,2755,275,São Paulo de Olivença,1303908,13,AM,Amazonas,1,1,1,1
1303957,130395,98450,9845,São Sebastião do Uatumã,1303957,13,AM,Amazonas,1,1,1,1
1304005,130400,2771,277,Silves,1304005,13,AM,Amazonas,1,1,1,1
1304062,130406,98477,9847,Tabatinga,1304062,13,AM,Amazonas,1,1,1,1
1304104,130410,2798,279,Tapauá,1304104,13,AM,Amazonas,1,1,1,1
1304203,130420,2810,281,Tefé,1304203,13,AM,Amazonas,1,1,1,1
1304237,130423,98515,9851,Tonantins,1303700,13,AM,Amazonas,1,1,1,1
1304260,130426,98493,9849,Uarini,1304260,13,AM,Amazonas,1,1,1,1
1304302,130430,2852,285,Urucará,1304302,13,AM,Amazonas,1,1,1,1
1304401,130440,2879,287,Urucurituba,1304401,13,AM,Amazonas,1,1,1,1
1400027,140002,3042,26,Amajari,1400456,14,RR,Roraima,0,1,1,1
1400050,140005,3050,305,Alto Alegre,1400050,14,RR,Roraima,1,1,1,1
1400100,140010,3018,301,Boa Vista,1400100,14,RR,Roraima,1,1,1,1
1400159,140015,3077,307,Bonfim,1400100,14,RR,Roraima,1,1,1,1
1400175,140017,3069,28,Cantá,1400100,14,RR,Roraima,0,1,1,1
1400209,140020,3034,303,Caracaraí,1400209,14,RR,Roraima,1,1,1,1
1400233,140023,3000,30,Caroebe,1400605,14,RR,Roraima,0,1,1,1
1400282,140028,3026,32,Iracema,1400308,14,RR,Roraima,0,1,1,1
1400308,140030,3093,309,Mucajaí,1400308,14,RR,Roraima,1,1,1,1
1400407,140040,3115,311,Normandia,1400100,14,RR,Roraima,1,1,1,1
1400456,140045,3123,34,Pacaraima,1400456,14,RR,Roraima,0,1,1,1
1400472,140047,3085,36,Rorainópolis,1400472,14,RR,Roraima,0,1,1,1
1400506,140050,3131,313,São João da Baliza,1400605,14,RR,Roraima,1,1,1,1
1400605,140060,3158,315,São Luiz,1400605,14,RR,Roraima,1,1,1,1
1400704,140070,3107,38,Uiramutã,1400456,14,RR,Roraima,0,1,1,1
1500107,150010,4014,401,Abaetetuba,1500107,15,PA,Pará,1,1,1,1
1500131,150013,4502,375,Abel Figueiredo,1506187,15,PA,Pará,0,1,1,1
